code,lat,lon
BLOXN,52.625263798343255,-2.0175365709183968
NWCSTLL,54.96908133875402,-1.616664165455304
STIVES,50.20868662489944,-5.477465831788649
TLBYRCT,51.470118236782675,0.33918905169469526
CHES139,51.697963724282396,-0.025519451948111324
LNGSUDL,53.463343762260855,-2.2028783805581944
MRTNONL,52.11190351596765,-2.715760709128915
NEASTC,51.55068939082532,-0.25198255595406344
CHRNGXG,55.86463917959774,-4.269625699768434
CHDH,53.37610670454123,-2.1884237428899374
NEAS327,51.55076723303319,-0.25117184505606865
TALNESS,52.69871372821817,-0.4521097244287029
